Model,CV_R2_Mean,CV_R2_Std,CV_R2_CI_95,CV_RMSE_Mean,CV_RMSE_Std
Random Forest,0.7784463235870204,0.09105074468380586,"[0.7263, 0.8306]",49.18312999877727,8.540880236745505
Extra Trees,0.8182767792805712,0.07597810389047856,"[0.7747, 0.8618]",43.85435510944253,7.838201684616645
XGBoost,0.7260272444677388,0.09368671008818401,"[0.6723, 0.7797]",58.00808736970651,12.092780403543069
GBRT,0.6062044491209639,0.21365986739767814,"[0.4837, 0.7287]",69.36526888662637,16.20295826694183
CatBoost,0.7699440251073136,0.08230473116865465,"[0.7228, 0.8171]",56.2616441044296,13.028797149479932
AdaBoost,0.6886468470330513,0.1328203982859148,"[0.6125, 0.7648]",62.1677348313634,15.368026520422786
