Model,SA_Samples,Train_R2,Train_RMSE,Train_MAE,Train_SMAPE,Test_R2,Test_RMSE,Test_MAE,Test_SMAPE,CV_R2_Mean,CV_R2_Std,CV_R2_CI_Low,CV_R2_CI_High,CV_RMSE_Mean,CV_RMSE_Std,Overfit_Gap,Overfit_Status
Random Forest,129,0.9504467525280146,24.38525651397264,18.378234317609238,1.415868935588498,0.8444437023455718,52.939362715962865,38.292238527709635,2.9993834420014847,0.7784463235870204,0.09105074468380586,0.7262543656025604,0.8306382815714803,49.18312999877727,8.540880236745505,0.10600305018244283,OVERFIT
Extra Trees,120,0.9841384790731644,14.11203057280871,9.994904332921264,0.7790196615792198,0.9146505881258578,30.12153586602232,21.424274228628832,1.6173730702188718,0.8182767792805712,0.07597810389047856,0.7747247356398334,0.861828822921309,43.85435510944253,7.838201684616645,0.06948789094730667,OK
XGBoost,123,0.9983169391300898,4.69171648191353,3.7099970603475767,0.287260354729702,0.7415481199130607,67.10416884338113,49.245390625,3.7159858662517973,0.7260272444677388,0.09368671008818401,0.6723243027333758,0.7797301862021018,58.00808736970651,12.092780403543069,0.2567688192170291,OVERFIT
GBRT,128,0.9952059897325808,8.138040412940006,6.098933369003324,0.4606732573917152,0.8161143563543458,58.328102836068744,48.94976486742434,3.7242954325501803,0.6062044491209639,0.21365986739767814,0.4837306916474761,0.7286782065944518,69.36526888662637,16.20295826694183,0.17909163337823497,OVERFIT
CatBoost,124,0.9999965236294792,0.2256010780437212,0.17998688733405976,0.014093919259733885,0.7727643358818195,53.876707839252155,40.37830335529239,3.1324042343740124,0.7699440251073136,0.08230473116865465,0.7227654425927578,0.8171226076218695,56.2616441044296,13.028797149479932,0.22723218774765974,OVERFIT
AdaBoost,139,0.9623867206211187,22.701698941524146,18.912800148434954,1.4796164066410062,0.7403549490537017,61.46641338823163,38.34713765725294,2.984376484316847,0.6886468470330513,0.1328203982859148,0.6125117569699094,0.7647819370961932,62.1677348313634,15.368026520422786,0.22203177156741705,OVERFIT
