SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,P2O5,K2O,TiO2,SO3,Type,group,Research paper,ST
21.72952397965884,10.00408652931171,9.750946687982974,1.599843797197622,30.11351552446662,2.328886540224385,0.040502374612598,0.8776371240098171,0.5902110371923694,22.96484640534307,coal ash,Shenfu coal,Study on the ash fusion temperatures of coal and sewage sludge mixtures    https://doi.org/10.1016/j.fuel.2009.08.039,1229.0
31.62663802916108,15.833437741062188,7.987134413216887,2.384069088076074,20.70216954962261,1.398251490474996,0.0301780897224819,1.34726890818076,0.6041175834754006,18.0867351070075,coal ash,Daliuta Coal,Study on the ash fusion temperatures of coal and sewage sludge mixtures    https://doi.org/10.1016/j.fuel.2009.08.039,1251.0
46.00250434913596,18.02718032331816,8.885918912910364,1.695474183382897,10.97972739238925,2.175518078678055,0.0817095991991757,0.7309567799701641,0.594488487125187,10.82652189389079,coal ash,Shigetai coal,Study on the ash fusion temperatures of coal and sewage sludge mixtures    https://doi.org/10.1016/j.fuel.2009.08.039,1182.0
28.10579879623493,25.63562141007065,5.683416262475517,2.078563898113837,11.44716349685882,0.9137648054510108,16.7791317572378,0.8194453993053953,1.799333905486896,6.737760268765146,coal ash,Sewage sludge,Study on the ash fusion temperatures of coal and sewage sludge mixtures    https://doi.org/10.1016/j.fuel.2009.08.039,1206.0
17.76658218815535,20.40889296863573,3.6874038503718647,1.4887646561661807,7.207198434817735,25.93013937560965,12.30449199268473,2.361944995297278,1.716258052114798,7.12832348614668,coal ash,Sewage sludge,Study on the ash fusion temperatures of coal and sewage sludge mixtures    https://doi.org/10.1016/j.fuel.2009.08.039,1348.0
44.39809618010131,20.30254667947979,1.6369801649138067,3.533481575484681,15.68107218950971,1.307587814656761,0.1741546993720191,1.0780113281139707,0.8284716688283295,11.05959769953962,coal ash,Sunagawa (Japan),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1150.0
31.93532446035787,11.28301725628125,10.62517349398923,2.850656303265403,27.68924199465486,0.2192812540973387,0.3267026830278622,1.14624291914518,0.7674843893406854,13.15687524584032,coal ash,Ashibetsu (Japan),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1120.0
40.81084386149321,15.64432299503612,13.19148459046067,2.0340611159894,14.09883538239712,0.4985443911738726,0.2811508774019936,1.05691410928861,0.618195045055602,11.76564763170339,coal ash,Horonai (Japan),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1135.0
38.4551065052692,16.30400727286193,5.687444397509975,3.971233105629772,18.35946963406728,0.7483479470407861,0.2102957552679534,0.6984580839047336,1.177400770010837,14.38823652843751,coal ash,Taiheiyo (Japan),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1240.0
48.48472150487556,19.48553837344084,13.139787890883667,2.689721554616068,5.98712094194169,0.3088198821966595,0.380683162367881,1.573985206034588,0.8766499881711625,7.072971495471881,coal ash,Taiheiyo L.G.b (Japan),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1145.0
46.75417401977335,24.53821710438755,7.9734255416369,1.784053964941256,8.830568787362864,2.890366758843375,0.3421475114658157,0.986711410777566,1.0166117565587047,4.883723144252601,coal ash,Miike (Japan),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1220.0
62.336624031399,19.81032549708404,4.812790770964972,2.036948791030817,4.682985210752225,2.186724437430143,0.1395840240234876,1.6275620242059967,0.7788333612764892,1.587621851832843,coal ash,Miike L.G. (Japan),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1180.0
47.61967832535839,20.82050911479724,10.16072784221648,1.4871792224855167,9.651693343244933,2.135948681959064,0.1893139271465175,1.018068997943106,1.1777660956596707,5.739114449189076,coal ash,Takashima (Japan),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1200.0
49.76141151485838,23.37082115007869,6.826870996931299,1.265711849066095,7.115891812859782,1.853719715955069,0.3276834448030093,1.604563840154656,1.116218323585848,6.757107351707186,coal ash,Datong (China),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1220.0
46.03801090435972,20.85925911181283,6.75357169712926,2.344297413331427,12.50957002688345,0.728228558183805,0.2426632624924691,1.486384317388862,1.05742776941758,7.980586939000605,coal ash,Mafty (Russia),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1230.0
59.278417603729565,19.94236903228802,4.788562849173712,1.147259849281202,9.12819793123739,0.6284988739540496,0.248250148150127,0.6384750465564949,0.8180461534005092,3.381922512228934,coal ash,Lithgow (Australia),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1220.0
60.4075413818194,21.78975639156177,5.061360881076076,1.922918602456068,4.981654410507949,0.5479819851558744,0.3569484810200083,3.15836889626204,1.056110735027685,0.7173582351131447,coal ash,New Hope (Australia),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1190.0
68.24923819277838,18.44277146189636,4.133896797631346,1.737434885961,3.1952825488937946,1.098378376182242,0.1474203470689542,0.8787027009457933,0.6390565097787588,1.47781817886338,coal ash,New Castle (Australia),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1210.0
