Model,SA_Samples,Train_R2,Train_RMSE,Train_MAE,Train_SMAPE,Test_R2,Test_RMSE,Test_MAE,Test_SMAPE,CV_R2_Mean,CV_R2_Std,CV_R2_CI_Low,CV_R2_CI_High,CV_RMSE_Mean,CV_RMSE_Std,Overfit_Gap,Overfit_Status
Random Forest,199,0.9691112118380385,23.725376737226323,18.715560097438992,1.426554814123663,0.7762823227433472,55.050762767735634,44.07007517984036,3.3379734757919097,0.8333205095396764,0.05494843017860443,0.8018230608460599,0.8648179582332929,52.39411559069898,5.5406346442440055,0.1928288890946913,OVERFIT
Extra Trees,197,0.9869407569813056,14.727282940889912,11.627380412658411,0.8855766780034323,0.862017123370107,46.84622731698291,38.50368334680768,2.892196850195019,0.8400091233702608,0.04463888196457501,0.8144212969328265,0.8655969498076951,49.59960023714824,5.7333469014735465,0.12492363361119851,OVERFIT
XGBoost,195,0.999084674901705,4.239374987356011,3.412666516426282,0.25749077318431657,0.8646735475767308,45.21850614444122,35.114583333333336,2.583606313434319,0.768164679847144,0.03372974613602772,0.7488301702912747,0.7874991894030132,66.50688247566144,6.291938850960537,0.1344111273249743,OVERFIT
GBRT,205,0.9962185208023967,8.958778186946208,7.208595081377494,0.542957346190305,0.6872743655110838,75.22141187793048,58.119485516255246,4.424904534718537,0.7639139452540774,0.07250074240632648,0.7223551890390263,0.8054727014691285,68.62072492215442,10.672709165638016,0.3089441552913129,OVERFIT
CatBoost,204,0.9999852234028075,0.5376536589114053,0.44576727988069,0.033650308462099196,0.723038718326957,76.05274179528243,55.99141596446041,4.21267433247878,0.8192834937137617,0.058463602796882556,0.7857710835583975,0.852795903869126,57.16672675237248,6.404838600049535,0.2769465050758505,OVERFIT
AdaBoost,219,0.9062478682271657,43.01407137340315,38.2221211516579,2.889108372339564,0.793630961359884,62.60671472373177,52.22689342183332,3.848210624352956,0.7419190587588105,0.06566444817643013,0.7042789918686543,0.7795591256489667,69.37997557985008,8.83390388866396,0.11261690686728176,OVERFIT
