Model,CV_R2_Mean,CV_R2_Std,CV_R2_CI_95,CV_RMSE_Mean,CV_RMSE_Std
Random Forest,0.8333205095396764,0.05494843017860443,"[0.8018, 0.8648]",52.39411559069898,5.5406346442440055
Extra Trees,0.8400091233702608,0.04463888196457501,"[0.8144, 0.8656]",49.59960023714824,5.7333469014735465
XGBoost,0.768164679847144,0.03372974613602772,"[0.7488, 0.7875]",66.50688247566144,6.291938850960537
GBRT,0.7639139452540774,0.07250074240632648,"[0.7224, 0.8055]",68.62072492215442,10.672709165638016
CatBoost,0.8192834937137617,0.058463602796882556,"[0.7858, 0.8528]",57.16672675237248,6.404838600049535
AdaBoost,0.7419190587588105,0.06566444817643013,"[0.7043, 0.7796]",69.37997557985008,8.83390388866396
