Model,CV_R2_Mean,CV_R2_Std,CV_R2_CI_95,CV_RMSE_Mean,CV_RMSE_Std
Random Forest,0.8403677636460921,0.08976910056536126,"[0.7889, 0.8918]",58.214095506442206,16.36705518809102
Extra Trees,0.9032046279631538,0.04476236168770781,"[0.8775, 0.9289]",46.71179949376468,11.210052792238315
XGBoost,0.8458391276638465,0.07522255796857052,"[0.8027, 0.8890]",59.81972993895511,15.155317091023939
GBRT,0.8662271688336342,0.055797180579884906,"[0.8342, 0.8982]",58.744799336096335,11.076086783183827
CatBoost,0.8326645786288435,0.05340679737227109,"[0.8021, 0.8633]",63.56980733982506,12.36839879427351
AdaBoost,0.7429932074807878,0.10012535546500248,"[0.6856, 0.8004]",87.1549380113285,16.83815907125185
