Model,SA_Samples,Train_R2,Train_RMSE,Train_MAE,Train_SMAPE,Test_R2,Test_RMSE,Test_MAE,Test_SMAPE,CV_R2_Mean,CV_R2_Std,CV_R2_CI_Low,CV_R2_CI_High,CV_RMSE_Mean,CV_RMSE_Std,Overfit_Gap,Overfit_Status
Random Forest,130,0.9603294501934597,30.950801255634175,20.899252646297093,1.6264038824308293,0.8640986714862184,63.58639299416927,50.977590181024205,4.021138399701917,0.8403677636460921,0.08976910056536126,0.7889104675934284,0.8918250596987558,58.214095506442206,16.36705518809102,0.09623077870724128,OK
Extra Trees,128,0.9934773460727111,12.961376937368517,9.86558608845002,0.764611328003608,0.9403476870267856,35.965346339750965,28.245206344750134,2.249843817583624,0.9032046279631538,0.04476236168770781,0.8775460206820915,0.9288632352442161,46.71179949376468,11.210052792238315,0.05312965904592548,OK
XGBoost,134,0.9979632621250567,7.138116033177162,5.54939968786507,0.4309961537322171,0.7887324148981206,67.0904727931432,50.571334273726855,3.9827202209222103,0.8458391276638465,0.07522255796857052,0.8027201768127228,0.8889580785149702,59.81972993895511,15.155317091023939,0.20923084722693608,OVERFIT
GBRT,138,0.9669080001852066,30.41108101839312,21.38559057893945,1.64546257309225,0.4655434647031804,108.67319929909745,69.24389866097012,5.523358081340168,0.8662271688336342,0.055797180579884906,0.8342432008321662,0.8982111368351021,58.744799336096335,11.076086783183827,0.5013645354820262,OVERFIT
CatBoost,140,0.9993036804896189,4.241701848901668,3.570186429522463,0.2799547091969935,0.8339991942372105,68.39735586601878,49.411877673421024,3.9057440392498455,0.8326645786288435,0.05340679737227109,0.8020508221547143,0.8632783351029726,63.56980733982506,12.36839879427351,0.16530448625240846,OVERFIT
AdaBoost,150,0.9490152261606586,40.48639467863088,34.73859437985825,2.667832228210285,0.7965478251349838,68.98065252970657,54.72086331398925,4.224474303087789,0.7429932074807878,0.10012535546500248,0.6855995160425017,0.8003868989190739,87.1549380113285,16.83815907125185,0.1524674010256748,OVERFIT
