Model,SA_Samples,Train_R2,Train_RMSE,Train_MAE,Train_SMAPE,Test_R2,Test_RMSE,Test_MAE,Test_SMAPE,CV_R2_Mean,CV_R2_Std,CV_R2_CI_Low,CV_R2_CI_High,CV_RMSE_Mean,CV_RMSE_Std,Overfit_Gap,Overfit_Status
Random Forest,123,0.9699250284752026,26.839511287744635,18.901049618700878,1.7318178499716779,0.7988118356029317,42.94833410985003,36.07294799392036,3.1095338805936197,0.7884618738795821,0.08806125367585102,0.7379835470095512,0.8389402007496131,66.54611382253864,12.857330192445673,0.1711131928722709,OVERFIT
Extra Trees,124,0.984479713218816,16.833012164928316,12.768567203547505,1.1530383443974175,0.8336747271349784,59.43839979894697,40.25109632396586,3.742458288879901,0.7932446324146911,0.08651080270162075,0.7436550524998334,0.8428342123295488,57.67531919384669,13.287467406943406,0.15080498608383763,OVERFIT
XGBoost,122,0.9998239184715331,2.1778148406821725,1.4985364147068299,0.13297092872707822,-0.8233984282775817,118.29055123234778,70.7790771484375,6.030990472566224,0.7391930286180151,0.10978831020530487,0.6762603541701666,0.8021257030658635,80.27490462424927,16.939723639504717,1.8232223467491147,OVERFIT
GBRT,131,0.8909873755500718,53.30916836993255,40.21073362762307,3.5823951348936145,0.5816254303919428,120.02478232270954,90.82580076580795,7.8208703405732045,0.4698254166955505,0.27355968613526155,0.31301598372939693,0.626634849661704,108.81118866223628,24.97089890423891,0.309361945158129,OVERFIT
CatBoost,134,0.9992227057124641,4.115765691023193,3.287764596512335,0.2890270449027285,0.6301936259961567,107.01239392211782,65.3746907782833,5.614851904593627,0.5633181663151622,0.16734375779137445,0.4673936529469319,0.6592426796833925,90.21664204015026,19.675681932094548,0.3690290797163074,OVERFIT
AdaBoost,138,0.9081509734630965,44.429725223541716,37.98411848473485,3.300431328973067,0.8285769854319379,62.28586616795733,47.572375453942506,4.138359036486971,0.4418506208498896,0.2530474194486189,0.2967991956275837,0.5869020460721954,104.42354456452657,31.279842071507705,0.07957398803115856,OK
