Model,CV_R2_Mean,CV_R2_Std,CV_R2_CI_95,CV_RMSE_Mean,CV_RMSE_Std
Random Forest,0.7884618738795821,0.08806125367585102,"[0.7380, 0.8389]",66.54611382253864,12.857330192445673
Extra Trees,0.7932446324146911,0.08651080270162075,"[0.7437, 0.8428]",57.67531919384669,13.287467406943406
XGBoost,0.7391930286180151,0.10978831020530487,"[0.6763, 0.8021]",80.27490462424927,16.939723639504717
GBRT,0.4698254166955505,0.27355968613526155,"[0.3130, 0.6266]",108.81118866223628,24.97089890423891
CatBoost,0.5633181663151622,0.16734375779137445,"[0.4674, 0.6592]",90.21664204015026,19.675681932094548
AdaBoost,0.4418506208498896,0.2530474194486189,"[0.2968, 0.5869]",104.42354456452657,31.279842071507705
