Model,SA_Samples,Train_R2,Train_RMSE,Train_MAE,Train_SMAPE,Test_R2,Test_RMSE,Test_MAE,Test_SMAPE,CV_R2_Mean,CV_R2_Std,CV_R2_CI_Low,CV_R2_CI_High,CV_RMSE_Mean,CV_RMSE_Std,Overfit_Gap,Overfit_Status
Random Forest,160,0.9740896244437249,21.332791405346654,17.524995247397413,1.2810538271688943,0.8638636255958658,44.84488624453344,36.78860464989628,2.6489049057412717,0.8530223706576006,0.0368902698518335,0.8318761909000535,0.8741685504151476,47.84743161847296,3.7656649952496863,0.11022599884785911,OVERFIT
Extra Trees,161,0.9922130965622401,11.435899361870272,9.237191474666426,0.6692343128924713,0.8732830469529296,41.06964792292643,31.337731288419324,2.3184387959702337,0.8815335421899068,0.05313003458155283,0.85107843122708,0.9119886531527335,42.32220998615096,6.755995344732373,0.11893004960931053,OVERFIT
XGBoost,155,0.9995839833451643,2.8799582681712543,2.1005632954259075,0.15558928306337658,0.8941543880100601,42.801082661594045,32.5400390625,2.4766076824187935,0.8804830443794518,0.05704789802727974,0.8477821421816568,0.9131839465772468,46.265111787047324,8.59716234702674,0.10542959533510421,OVERFIT
GBRT,161,0.9933136842583217,11.8872134770067,8.516198920766444,0.627246003190651,0.8525153541034936,49.355493682440866,38.22565557023259,2.7797188346920665,0.7713682944306205,0.08627035276247043,0.7219165448340659,0.8208200440271751,65.46110364078223,10.768090776321532,0.14079833015482812,OVERFIT
CatBoost,172,0.9998778297195355,1.593358558489781,1.338637168823999,0.09948633044844915,0.7532977243089062,56.943346871738605,36.439363371014814,2.671922174673395,0.8197820162792459,0.05378888978790538,0.7889492374196083,0.8506147951388834,59.4622005888652,9.377892680334433,0.24658010541062936,OVERFIT
AdaBoost,175,0.935335999528535,34.36704389224886,27.604063742498738,1.9922321493726358,0.8846733064520848,42.321620691126036,33.688178121906454,2.4178822330182403,0.7969438456510577,0.06024229183304698,0.7624118582943724,0.831475833007743,57.266988112151736,8.938700184159545,0.050662693076450216,OK
