Model,CV_R2_Mean,CV_R2_Std,CV_R2_CI_95,CV_RMSE_Mean,CV_RMSE_Std
Random Forest,0.8530223706576006,0.0368902698518335,"[0.8319, 0.8742]",47.84743161847296,3.7656649952496863
Extra Trees,0.8815335421899068,0.05313003458155283,"[0.8511, 0.9120]",42.32220998615096,6.755995344732373
XGBoost,0.8804830443794518,0.05704789802727974,"[0.8478, 0.9132]",46.265111787047324,8.59716234702674
GBRT,0.7713682944306205,0.08627035276247043,"[0.7219, 0.8208]",65.46110364078223,10.768090776321532
CatBoost,0.8197820162792459,0.05378888978790538,"[0.7889, 0.8506]",59.4622005888652,9.377892680334433
AdaBoost,0.7969438456510577,0.06024229183304698,"[0.7624, 0.8315]",57.266988112151736,8.938700184159545
