Blend Sample,SiO₂,Al₂O₃,Fe₂O₃,K₂O,CaO,MgO,P₂O₅,TiO₂,SO₃,DT,ST,HT,FT,DT_pav,ST_pav,HT_pav,FT_pav,DT_clso,ST_clso,HT_clso,FT_clso
100 coal,49.5,20.8,8.6,0.868,8.31,0.5,2.39,2.01,3.5,1168.1183090024326,1263.2426,1235.7828,1351.208117443868,1168.1183090024326,1249.5126953125,1249.5126953125,1351.208117443868,1168.1183090024326,1244.5126953124995,1254.5126953125005,1351.208117443868
5% BC,45.7,19.3,9.46,0.97,10.9,0.795,2.294,1.95,3.32,1151.1383819951332,1261.2368,1227.3558,1292.661485319516,1151.1383819951332,1244.2963256835938,1244.2963256835938,1292.661485319516,1151.1383819951332,1239.2963256835853,1249.2963256836022,1292.661485319516
10% BC,47.2,19.2,9.37,1.24,10.3,0.751,2.42,1.92,3.48,1145.9014598540145,1239.7656,1206.7726,1303.169689119171,1145.9014598540145,1223.2691040039062,1223.2691040039062,1303.169689119171,1145.9014598540145,1218.2691040039083,1228.2691040039042,1303.169689119171
15% BC,50.5,20.1,7.56,1.97,9.27,0.795,2.74,2.16,4.0,1162.6551094890508,1275.635,1254.5681,1331.8709844559578,1162.6551094890508,1265.1015625,1265.1015625,1331.8709844559578,1162.6551094890508,1260.1015625000025,1270.1015624999975,1331.8709844559578
100% BC,45.9,11.9,12.4,6.15,9.84,1.98,3.99,1.46,1.44,1117.099148418491,1156.8915,1192.3352,1252.476683937824,1117.099148418491,1156.8914794921875,1192.335205078125,1252.476683937824,1117.099148418491,1156.8914794921875,1192.335205078125,1252.476683937824
