Model,SA_Samples,Train_R2,Train_RMSE,Train_MAE,Train_SMAPE,Test_R2,Test_RMSE,Test_MAE,Test_SMAPE,CV_R2_Mean,CV_R2_Std,CV_R2_CI_Low,CV_R2_CI_High,CV_RMSE_Mean,CV_RMSE_Std,Overfit_Gap,Overfit_Status
Random Forest,199,0.9836315696673587,16.260681139897383,12.404365822627115,0.9182132329408275,0.915583370557214,34.22476822655633,27.945833648679262,2.0863500147966745,0.8982113554337885,0.02480973493331431,0.8839899600158614,0.9124327508517156,39.57641919492054,5.235749675244968,0.0680481991101447,OK
Extra Trees,205,0.9876349940005639,13.348088626263925,10.33415283569932,0.7498990315011324,0.94610496952951,30.37111927699886,24.54687449224605,1.8552235472710836,0.8845480650816039,0.027753461213735887,0.8686392717310287,0.900456858432179,39.87130149039243,4.979395259316181,0.04153002447105392,OK
XGBoost,195,0.9997167482600644,2.0871611524936964,1.5938485952524037,0.11798555988125198,0.925140795617506,37.49461445751979,28.68952198517628,2.0884740252554925,0.7892675008910259,0.10095453401896749,0.7313985090869883,0.8471364926950635,54.35964066664876,9.793756200341912,0.07457595264255845,OK
GBRT,205,0.9842081718565527,17.289793926819456,12.73491881672937,0.937459032030346,0.7076957029073824,68.743515165683,51.51939112389012,3.9124313891162514,0.8262714728143659,0.09160431780360925,0.7737621965574366,0.8787807490712951,54.792206769390106,10.98340555883502,0.27651246894917036,OVERFIT
CatBoost,223,0.9993869049833383,3.3048032339524718,2.6725248140615725,0.19767680814065502,0.8988291429289542,42.386098997564964,30.632269525424697,2.290347962910423,0.823757882010802,0.07429486930256662,0.7811706993296903,0.8663450646919137,53.66334730277166,10.95154652049757,0.10055776205438405,OVERFIT
AdaBoost,233,0.9297467487822256,35.004606744569315,30.387254427884375,2.2202618215995957,0.8073327859478648,50.09762388965458,43.17503987233773,3.1303629345994413,0.8356428133915714,0.07547197998488839,0.7923808892628401,0.8789047375203027,52.14458392266421,11.655711468110026,0.12241396283436079,OVERFIT
