Model,CV_R2_Mean,CV_R2_Std,CV_R2_CI_95,CV_RMSE_Mean,CV_RMSE_Std
Random Forest,0.8982113554337885,0.02480973493331431,"[0.8840, 0.9124]",39.57641919492054,5.235749675244968
Extra Trees,0.8845480650816039,0.027753461213735887,"[0.8686, 0.9005]",39.87130149039243,4.979395259316181
XGBoost,0.7892675008910259,0.10095453401896749,"[0.7314, 0.8471]",54.35964066664876,9.793756200341912
GBRT,0.8262714728143659,0.09160431780360925,"[0.7738, 0.8788]",54.792206769390106,10.98340555883502
CatBoost,0.823757882010802,0.07429486930256662,"[0.7812, 0.8663]",53.66334730277166,10.95154652049757
AdaBoost,0.8356428133915714,0.07547197998488839,"[0.7924, 0.8789]",52.14458392266421,11.655711468110026
