Model,CV_R2_Mean,CV_R2_Std,CV_R2_CI_95,CV_RMSE_Mean,CV_RMSE_Std
Random Forest,0.8183820045668071,0.057746961046118185,"[0.7853, 0.8515]",60.11219811348629,9.06154697589198
Extra Trees,0.8073628508568755,0.09364320881046587,"[0.7537, 0.8610]",51.03566796563997,11.49219149763596
XGBoost,0.7156907732235124,0.12118957878698924,"[0.6462, 0.7852]",78.51552155617517,22.7315292106658
GBRT,0.44931610940019956,0.2334751697578742,"[0.3155, 0.5831]",114.98521924020714,36.49419376571218
CatBoost,0.7117433750106524,0.2552922854462364,"[0.5654, 0.8581]",77.31709998035103,19.812918691407372
AdaBoost,0.48699893620177526,0.30942240752205635,"[0.3096, 0.6644]",114.58947524266935,45.72222019036086
