Model,SA_Samples,Train_R2,Train_RMSE,Train_MAE,Train_SMAPE,Test_R2,Test_RMSE,Test_MAE,Test_SMAPE,CV_R2_Mean,CV_R2_Std,CV_R2_CI_Low,CV_R2_CI_High,CV_RMSE_Mean,CV_RMSE_Std,Overfit_Gap,Overfit_Status
Random Forest,128,0.963198436650131,21.001583857249816,15.686818830407782,1.1836164455458227,0.8805445854906075,31.928398201418492,24.274631408463385,1.8525195246809119,0.7908841089561542,0.08095311832214716,0.7444802957325158,0.8372879221797926,48.04320005181857,9.549650998343816,0.0826538511595235,OK
Extra Trees,127,0.9914123774906654,9.393118754926833,6.561325764541517,0.4995245864731974,0.8080203504592831,44.52174005596448,30.717067856725258,2.2885688825949884,0.8750124919470217,0.05202723815608626,0.8451895241358325,0.9048354597582109,33.484490231568216,7.739306080146598,0.18339202703138224,OVERFIT
XGBoost,126,0.9998022526845416,1.485065610197641,1.156451416015625,0.08746031812066489,0.7150306899924952,54.89925467737056,31.447289100060097,2.3071621360296994,0.7602572841353793,0.13862228401181093,0.6807964466872138,0.8397181215835448,48.28228028815283,13.146176126693625,0.2847715626920464,OVERFIT
GBRT,134,0.985447877176351,13.084047307832469,9.750492407861167,0.7336382941393512,0.7077712229087378,61.76995482504359,46.74529726210233,3.4744096346934197,0.6989094842297251,0.11957428370216766,0.630367310163186,0.7674516582962642,57.178747411751324,11.080037411057944,0.2776766542676131,OVERFIT
CatBoost,120,0.998627871559285,4.044805775182691,3.2098577955436816,0.24414864530755126,0.823400383895129,45.77206441429361,30.100438034967045,2.238103408047649,0.8171656864063959,0.06334633578869131,0.7808544040831784,0.8534769687296133,44.74689110781072,8.467018669980375,0.17522748766415597,OVERFIT
AdaBoost,140,0.9469275740734872,24.899982364330405,20.70359174943382,1.5967052019864032,0.7067795500011724,57.512049916901525,43.50691811912642,3.3015506717695686,0.6796913684988706,0.10905582069216065,0.617178570483959,0.7422041665137822,58.09580043917996,11.996214221591455,0.24014802407231473,OVERFIT
