Model,CV_R2_Mean,CV_R2_Std,CV_R2_CI_95,CV_RMSE_Mean,CV_RMSE_Std
Random Forest,0.7908841089561542,0.08095311832214716,"[0.7445, 0.8373]",48.04320005181857,9.549650998343816
Extra Trees,0.8750124919470217,0.05202723815608626,"[0.8452, 0.9048]",33.484490231568216,7.739306080146598
XGBoost,0.7602572841353793,0.13862228401181093,"[0.6808, 0.8397]",48.28228028815283,13.146176126693625
GBRT,0.6989094842297251,0.11957428370216766,"[0.6304, 0.7675]",57.178747411751324,11.080037411057944
CatBoost,0.8171656864063959,0.06334633578869131,"[0.7809, 0.8535]",44.74689110781072,8.467018669980375
AdaBoost,0.6796913684988706,0.10905582069216065,"[0.6172, 0.7422]",58.09580043917996,11.996214221591455
