SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,P2O5,K2O,TiO2,SO3,Type,group,Research paper,DT
21.72952397965884,10.00408652931171,9.750946687982974,1.599843797197622,30.11351552446662,2.328886540224385,0.040502374612598,0.8776371240098171,0.5902110371923694,22.96484640534307,coal ash,Shenfu coal,Study on the ash fusion temperatures of coal and sewage sludge mixtures    https://doi.org/10.1016/j.fuel.2009.08.039,1190.0
31.62663802916108,15.833437741062188,7.987134413216887,2.384069088076074,20.70216954962261,1.398251490474996,0.0301780897224819,1.34726890818076,0.6041175834754006,18.0867351070075,coal ash,Daliuta Coal,Study on the ash fusion temperatures of coal and sewage sludge mixtures    https://doi.org/10.1016/j.fuel.2009.08.039,1181.0
46.00250434913596,18.02718032331816,8.885918912910364,1.695474183382897,10.97972739238925,2.175518078678055,0.0817095991991757,0.7309567799701641,0.594488487125187,10.82652189389079,coal ash,Shigetai coal,Study on the ash fusion temperatures of coal and sewage sludge mixtures    https://doi.org/10.1016/j.fuel.2009.08.039,1157.0
28.10579879623493,25.63562141007065,5.683416262475517,2.078563898113837,11.44716349685882,0.9137648054510108,16.7791317572378,0.8194453993053953,1.799333905486896,6.737760268765146,coal ash,Sewage sludge,Study on the ash fusion temperatures of coal and sewage sludge mixtures    https://doi.org/10.1016/j.fuel.2009.08.039,1183.0
17.76658218815535,20.40889296863573,3.6874038503718647,1.4887646561661807,7.207198434817735,25.93013937560965,12.30449199268473,2.361944995297278,1.716258052114798,7.12832348614668,coal ash,Sewage sludge,Study on the ash fusion temperatures of coal and sewage sludge mixtures    https://doi.org/10.1016/j.fuel.2009.08.039,1291.0
56.65665665665664,25.42542542542542,6.506506506506504,1.401401401401401,3.7037037037037033,0.6006006006006003,0.5005005005005004,1.401401401401401,0.9009009009009008,2.902902902902901,coal ash,Shanxi Datong,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.046,1239.0
64.16416416416415,27.22722722722722,2.902902902902901,0.5005005005005005,0.9009009009009008,0.2002002002002002,0.1001001001001,1.601601601601601,1.501501501501501,0.9009009009009008,coal ash,Heilongjiang Jixi,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.047,1450.0
52.95295295295296,31.931931931931928,4.904904904904905,1.201201201201201,2.702702702702703,0.7007007007007005,0.1001001001001,1.701701701701702,1.601601601601601,2.2022022022022014,coal ash,Shandong Xinwen,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.048,1450.0
50.85085085085085,36.03603603603604,6.106106106106108,0.6006006006006006,1.9019019019019017,0.3003003003003003,0.2002002002002002,1.301301301301302,1.301301301301302,1.401401401401401,coal ash,Anhui Huainan,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.049,1450.0
41.78356713426854,23.046092184368728,7.114228456913827,2.104208416833667,13.12625250501002,0.9018036072144288,0.2004008016032063,0.8016032064128255,0.9018036072144288,10.02004008016032,coal ash,Neimenggu lijiata,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.050,1141.0
52.75275275275276,33.53353353353354,5.905905905905906,1.1011011011011007,1.801801801801802,0.3003003003003001,1.001001001001001,0.7007007007007005,1.501501501501501,1.401401401401401,coal ash,Liaoning Fuxin,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.051,1450.0
39.77955911823648,18.23647294589178,17.13426853707415,0.9018036072144288,17.53507014028056,0.2004008016032063,0.2004008016032063,0.3006012024048095,1.202404809619238,4.509018036072144,coal ash,Shanxi Huating,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.052,1160.0
34.96993987975953,16.53306613226453,8.01603206412826,2.004008016032065,37.1743486973948,0.1002004008016032,0.1002004008016032,0.2004008016032063,0.3006012024048095,0.6012024048096192,coal ash,Shandong Zaozhuang,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.053,1180.0
23.0,34.0,22.1,1.7,17.30000000000001,0.3,0.1,0.5000000000000001,0.4,0.6,coal ash,Shandong yanzhou,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.054,1155.0
24.64358452138493,27.59674134419552,25.66191446028513,0.7128309572301424,18.32993890020366,0.4073319755600814,0.305498981670061,0.814663951120163,0.4073319755600814,1.120162932790224,coal ash,Shanxi gujiao,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.055,1220.0
35.63474387527839,12.58351893095768,11.804008908685972,3.118040089086859,30.84632516703786,0.22271714922049,0.22271714922049,1.224944320712695,0.7795100222717147,3.56347438752784,coal ash,Sofia Bulgaria,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.056,1100.0
49.6875,21.66666666666667,10.625,1.5625,10.10416666666666,2.1875,0.1041666666666666,1.041666666666666,1.25,1.770833333333333,coal ash,Miike Japan,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.058,1165.0
62.68806419257773,30.09027081243731,2.607823470411233,0.4012036108324975,0.9027081243731194,0.9027081243731194,0.1003009027081243,0.5015045135406218,1.203610832497492,0.6018054162487461,coal ash,New Hope Australia,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.059,1450.0
61.83673469387755,22.3469387755102,5.204081632653061,1.938775510204081,5.102040816326531,0.510204081632653,0.510204081632653,1.122448979591837,0.7142857142857143,0.7142857142857143,coal ash,Mafty Russia,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.060,1170.0
54.61928934010154,20.71065989847716,15.32994923857868,1.319796954314721,2.84263959390863,0.6091370558375637,0.6091370558375637,1.01522842639594,0.8121827411167517,2.1319796954314727,coal ash,Donbass Ukraine,Relationship between coal ash composition and ash fusion temperatures     https://doi.org/10.1016/j.fuel.2012.06.062,1150.0
45.32187125149941,34.88604558176729,9.33626549380248,0.979608156737305,6.337465013994402,0.4098360655737705,0.0699720111955218,0.3198720511795282,1.099560175929628,1.239504198320672,coal ash,Fangzheng coal,Modification of ash fusion behavior of coal with high ash fusion temperature by red mud addition https://doi.org/10.1016/j.fuel.2016.12.012,1497.0
49.96945632254123,34.45326817348809,4.6019140704540815,0.8654041946650377,4.041946650376705,1.058847485237222,0.3970678069639584,1.099572388515578,1.415190388922826,2.097332518835267,coal ash,Jiaozuo coal,Modification of ash fusion behavior of coal with high ash fusion temperature by red mud addition https://doi.org/10.1016/j.fuel.2016.12.012,1500.0
48.82051282051282,36.63589743589744,2.071794871794872,0.7589743589743589,6.451282051282052,0.5435897435897435,0.5128205128205127,0.1948717948717947,1.517948717948718,2.492307692307693,coal ash, Jincheng coal,Modification of ash fusion behavior of coal with high ash fusion temperature by red mud addition https://doi.org/10.1016/j.fuel.2016.12.012,1500.0
22.697442860375656,27.18940936863545,16.82507354605114,0.9730708305046392,18.08101380402806,8.644489703552841,0.2376103190767142,1.346458474768047,2.443991853360489,1.5614392396469787,coal ash,Zhongzhou,Modification of ash fusion behavior of coal with high ash fusion temperature by red mud addition https://doi.org/10.1016/j.fuel.2016.12.012,1138.0
20.132370637785808,28.48375451263539,18.38748495788207,2.214199759326114,19.95186522262335,1.997593261131168,1.058965102286402,2.190132370637786,5.030084235860411,0.5535499398315284,coal ash,Zhongmei,Modification of ash fusion behavior of coal with high ash fusion temperature by red mud addition https://doi.org/10.1016/j.fuel.2016.12.012,1207.0
64.92738589211618,22.26141078838173,5.715767634854772,0.6224066390041492,1.79460580912863,0.1141078838174273,1.6286307053941913,1.089211618257261,1.784232365145228,0.0622406639004149,coal ash,Indian coals,"Composition, mineral matter characteristics and ash fusion behavior of some Indian coals  https://doi.org/10.1016/j.fuel.2015.02.015",1145.0
49.65063707357172,21.11590628853268,22.06124126592684,0.5137690094533498,2.034525277435264,0.1438553226469379,1.715988491574188,1.243321002877106,1.4796547472256467,0.0411015207562679,coal ash,Indian coals,"Composition, mineral matter characteristics and ash fusion behavior of some Indian coals  https://doi.org/10.1016/j.fuel.2015.02.015",1148.0
57.24410246026122,21.55512807532651,13.60737065910702,1.063075832742736,2.359015895514833,0.161992507846512,1.032702237521515,1.154196618406399,1.670547737167156,0.151867976106105,coal ash,Indian coals,"Composition, mineral matter characteristics and ash fusion behavior of some Indian coals  https://doi.org/10.1016/j.fuel.2015.02.015",1152.0
47.733866933466736,40.64032016008005,4.462231115557779,0.3701850925462731,4.242121060530265,0.240120060030015,0.3201600800400201,0.2101050525262631,1.550775387693848,0.2301150575287644,coal ash,high aluminum Shajuzi coal ,Influences of phosphorus on ash fusion characteristics of coal and its  regulation mechanism    https://doi.org/10.1016/j.fuel.2018.11.004,1500.0
45.3,14.39,10.43,1.72,20.33,1.7,0.4299999999999998,0.49,1.91,3.3,coal ash,high calcium Zhundong coal,Influences of phosphorus on ash fusion characteristics of coal and its  regulation mechanism    https://doi.org/10.1016/j.fuel.2018.11.004,1139.0
32.31,13.24,6.34,3.21,30.07,5.789999999999999,0.82,0.97,2.03,5.22,coal ash,Yimi coal ,Influences of phosphorus on ash fusion characteristics of coal and its  regulation mechanism    https://doi.org/10.1016/j.fuel.2018.11.004,1120.0
46.82301062337141,37.372218881539375,4.269392663860494,1.262778111846061,3.938665063138906,0.7316095409901783,0.1202645820805772,0.471036279815594,1.723792343154941,3.2872319102024448,coal ash,Nantun coal,Regulation of ash-fusion behaviors for high ash-fusion-temperature coal by coal blending  10.1016/j.fuproc.2017.05.012,1442.0
44.0764458675205,34.4106463878327,6.914148489093456,1.911146688012808,5.873524114468681,0.8705223133880328,0.8905343205923553,1.0906543926355807,1.190714428657194,2.771662997798679,coal ash,Pengzhuang coal,Regulation of ash-fusion behaviors for high ash-fusion-temperature coal by coal blending  10.1016/j.fuproc.2017.05.012,1340.0
